epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
133,4425.02,1.22125,0.66811,0.00753,0.46473,0.70628,0.71697,0.72036,0.38599,1.90523,1.20806,0.02322,0.000247472,0.000247472,0.000247472
134,4458.49,1.18103,0.64341,0.0073,0.46482,0.74158,0.70085,0.71522,0.37715,1.91142,1.22886,0.02287,0.000243938,0.000243938,0.000243938
135,4494.05,1.19524,0.66212,0.00747,0.4613,0.76663,0.66934,0.7253,0.37772,1.92945,1.2473,0.0231,0.000240404,0.000240404,0.000240404
136,4525.58,1.19144,0.6417,0.00749,0.46299,0.7756,0.67969,0.74191,0.38318,1.93034,1.16756,0.02298,0.000236869,0.000236869,0.000236869
137,4555.3,1.18256,0.63596,0.00753,0.45999,0.71858,0.65986,0.69373,0.36627,1.95161,1.27985,0.02387,0.000233335,0.000233335,0.000233335
138,4584.51,1.16644,0.63705,0.00722,0.4594,0.68965,0.62591,0.68671,0.3738,1.93355,1.24061,0.02306,0.000229801,0.000229801,0.000229801
139,4614.23,1.16977,0.65262,0.00741,0.45784,0.63547,0.70848,0.69308,0.37117,1.93126,1.2446,0.02327,0.000226267,0.000226267,0.000226267
140,4643.96,1.16214,0.64616,0.00748,0.45153,0.80012,0.67613,0.74595,0.38518,1.90496,1.21808,0.02258,0.000222732,0.000222732,0.000222732
141,4676.42,1.16497,0.63044,0.00743,0.45703,0.78914,0.6724,0.73662,0.3921,1.91368,1.20663,0.02258,0.000219198,0.000219198,0.000219198
142,4709.54,1.16449,0.64072,0.00728,0.45801,0.65631,0.71499,0.70618,0.3734,1.91213,1.2292,0.02289,0.000215664,0.000215664,0.000215664
143,4742.71,1.17468,0.63317,0.00721,0.45473,0.77842,0.67006,0.73794,0.38415,1.90431,1.21431,0.02304,0.000212129,0.000212129,0.000212129
144,4776.04,1.14986,0.62417,0.0071,0.45623,0.71675,0.68384,0.71304,0.37243,1.92763,1.22241,0.02286,0.000208595,0.000208595,0.000208595
145,4808.05,1.15863,0.63966,0.00726,0.45284,0.69924,0.6393,0.68465,0.35635,1.95042,1.30885,0.02354,0.000205061,0.000205061,0.000205061
146,4840.25,1.15258,0.62007,0.00702,0.449,0.76671,0.66719,0.72812,0.37207,1.9118,1.25687,0.02248,0.000201527,0.000201527,0.000201527
147,4873.42,1.14593,0.61668,0.00723,0.44913,0.77514,0.67896,0.72322,0.37539,1.93443,1.2809,0.0232,0.000197992,0.000197992,0.000197992
148,4906.64,1.13141,0.60639,0.00693,0.4529,0.73504,0.66704,0.7155,0.38077,1.91572,1.25464,0.02276,0.000194458,0.000194458,0.000194458
149,4939.9,1.146,0.62174,0.00694,0.44921,0.68579,0.67384,0.69496,0.3639,1.94782,1.26682,0.02311,0.000190924,0.000190924,0.000190924
150,4972.85,1.12289,0.6011,0.00692,0.45141,0.71626,0.66714,0.68972,0.36947,1.93027,1.31606,0.02287,0.000187389,0.000187389,0.000187389
151,5006.16,1.11934,0.6077,0.00697,0.45455,0.78251,0.64257,0.70073,0.37186,1.91565,1.34236,0.02308,0.000183855,0.000183855,0.000183855
152,5036.92,1.11813,0.62208,0.0072,0.44724,0.70863,0.68401,0.68846,0.36968,1.94789,1.28632,0.02397,0.000180321,0.000180321,0.000180321
153,5066.25,1.11705,0.60864,0.00672,0.44735,0.73887,0.66178,0.69109,0.37522,1.95981,1.27839,0.02382,0.000176786,0.000176786,0.000176786
154,5095.4,1.11654,0.58943,0.00698,0.44659,0.7685,0.66649,0.71758,0.37879,1.91184,1.29393,0.02273,0.000173252,0.000173252,0.000173252
155,5127.41,1.11228,0.60334,0.00693,0.43958,0.7149,0.67046,0.69394,0.37571,1.93101,1.26731,0.02284,0.000169718,0.000169718,0.000169718
156,5159.37,1.12588,0.61488,0.00679,0.44113,0.75744,0.67136,0.69749,0.37163,1.92833,1.27485,0.02309,0.000166183,0.000166183,0.000166183
157,5192.17,1.14147,0.635,0.00681,0.44368,0.78348,0.66549,0.69499,0.36514,1.99219,1.24304,0.02423,0.000162649,0.000162649,0.000162649
158,5225.61,1.11108,0.60504,0.00677,0.44173,0.76072,0.68696,0.71322,0.38394,1.92506,1.20732,0.02287,0.000159115,0.000159115,0.000159115
159,5258.92,1.12381,0.60566,0.00695,0.44059,0.7786,0.68295,0.70277,0.37632,1.9331,1.2749,0.02307,0.000155581,0.000155581,0.000155581
160,5292.35,1.10978,0.60366,0.00689,0.4429,0.74854,0.67757,0.68854,0.37338,1.9194,1.28593,0.02275,0.000152046,0.000152046,0.000152046
161,5325.03,1.10365,0.60587,0.00661,0.43583,0.66212,0.65822,0.67639,0.3623,1.94967,1.36724,0.02327,0.000148512,0.000148512,0.000148512
162,5357.7,1.09231,0.57987,0.00681,0.44083,0.67876,0.66667,0.6751,0.36089,1.92966,1.30409,0.02264,0.000144978,0.000144978,0.000144978
163,5393.73,1.10858,0.58691,0.00671,0.44048,0.67288,0.66173,0.68653,0.3707,1.93112,1.27226,0.02276,0.000141443,0.000141443,0.000141443
164,5431.37,1.08889,0.58842,0.00676,0.43748,0.65674,0.68857,0.69444,0.37844,1.92865,1.22134,0.02276,0.000137909,0.000137909,0.000137909
165,5469.79,1.11073,0.60257,0.00659,0.43742,0.67123,0.68422,0.68419,0.37065,1.92043,1.26091,0.02258,0.000134375,0.000134375,0.000134375
