epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/kd_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
78,2471.81,1.2683,0.71905,0.00806,0.59718,0.65377,0.65037,0.65613,0.35465,1.91355,1.14815,0.02381,0.000169718,0.000169718,0.000169718
79,2505.6,1.28752,0.7494,0.00807,0.59426,0.79331,0.61892,0.68208,0.36962,1.90733,1.16113,0.02349,0.000162649,0.000162649,0.000162649
80,2537.83,1.28317,0.72438,0.00806,0.58982,0.75892,0.6548,0.69202,0.36753,1.9225,1.13552,0.02367,0.000155581,0.000155581,0.000155581
81,2570.58,1.25833,0.70271,0.00789,0.59381,0.75322,0.65495,0.67359,0.36943,1.90866,1.21308,0.02325,0.000148512,0.000148512,0.000148512
82,2603.48,1.24876,0.71662,0.00801,0.58745,0.69002,0.67552,0.68105,0.36144,1.95053,1.10378,0.02446,0.000141443,0.000141443,0.000141443
83,2636.51,1.27154,0.71936,0.00799,0.58266,0.65679,0.65764,0.65922,0.35613,1.93571,1.16426,0.02439,0.000134375,0.000134375,0.000134375
84,2669.22,1.22946,0.68073,0.00803,0.58809,0.74494,0.62131,0.65729,0.35116,1.93426,1.19677,0.02381,0.000127306,0.000127306,0.000127306
85,2703.16,1.27005,0.7034,0.00793,0.58346,0.77128,0.6296,0.66574,0.35483,1.93819,1.17385,0.02385,0.000120238,0.000120238,0.000120238
86,2735.58,1.23128,0.66868,0.00794,0.58523,0.72433,0.67317,0.67231,0.35904,1.94967,1.23769,0.02438,0.000113169,0.000113169,0.000113169
87,2767.47,1.23633,0.69965,0.00795,0.58575,0.77996,0.64012,0.66304,0.35881,1.94977,1.22369,0.02389,0.0001061,0.0001061,0.0001061
88,2799.56,1.26114,0.70643,0.0079,0.58291,0.76377,0.62199,0.64753,0.35667,1.9231,1.28305,0.02339,9.90318e-05,9.90318e-05,9.90318e-05
89,2832.28,1.24963,0.71133,0.00776,0.58071,0.8037,0.6252,0.66701,0.35779,1.95313,1.2383,0.02407,9.19632e-05,9.19632e-05,9.19632e-05
90,2864.9,1.23336,0.6893,0.00777,0.58289,0.71797,0.66737,0.67045,0.35608,1.9728,1.20565,0.02473,8.48946e-05,8.48946e-05,8.48946e-05
91,2909.93,1.32871,0.65982,0.01084,0.57619,0.71708,0.6541,0.66876,0.34791,1.98795,1.21668,0.02448,7.7826e-05,7.7826e-05,7.7826e-05
92,2942.2,1.2151,0.59165,0.00924,0.54446,0.67702,0.6994,0.68944,0.36708,1.98286,1.15313,0.02472,7.07574e-05,7.07574e-05,7.07574e-05
93,2974.21,1.18652,0.58456,0.00886,0.53985,0.69788,0.67155,0.68337,0.36586,1.96101,1.17328,0.02394,6.36888e-05,6.36888e-05,6.36888e-05
94,3006.19,1.17796,0.5574,0.00878,0.53593,0.68483,0.67321,0.68439,0.36328,1.96004,1.14057,0.02391,5.66202e-05,5.66202e-05,5.66202e-05
95,3038.55,1.17787,0.57315,0.00872,0.53387,0.68986,0.6921,0.69834,0.36593,1.9555,1.13848,0.02384,4.95516e-05,4.95516e-05,4.95516e-05
96,3071.19,1.16047,0.57376,0.00881,0.53131,0.70222,0.69589,0.70576,0.37499,1.94658,1.15003,0.02379,4.2483e-05,4.2483e-05,4.2483e-05
97,3103.16,1.14032,0.55274,0.00833,0.53009,0.71019,0.67405,0.69577,0.37277,1.93518,1.14769,0.02342,3.54144e-05,3.54144e-05,3.54144e-05
98,3135.68,1.15908,0.54839,0.00864,0.52865,0.68685,0.68012,0.6937,0.37574,1.94412,1.13551,0.02377,2.83458e-05,2.83458e-05,2.83458e-05
99,3169.29,1.13822,0.52759,0.00831,0.52735,0.6945,0.67257,0.6958,0.37364,1.94571,1.11939,0.02393,2.12772e-05,2.12772e-05,2.12772e-05
100,3202.18,1.1506,0.56,0.00857,0.52676,0.67748,0.68012,0.68998,0.37456,1.94286,1.12543,0.02384,1.42086e-05,1.42086e-05,1.42086e-05
